,fear,negative,sadness,positive,trust,surprise,anticipation,joy,anger,disgust
1597,19.0,34.0,13.0,60.0,33.0,6.0,18.0,5.0,6.0,9.0
1598,17.0,15.0,6.0,19.0,9.0,2.0,7.0,4.0,2.0,1.0
1599,17.0,15.0,6.0,19.0,9.0,2.0,7.0,4.0,2.0,1.0
1600,5.0,6.0,2.0,11.0,6.0,2.0,10.0,1.0,2.0,
1601,24.0,40.0,20.0,40.0,41.0,3.0,16.0,3.0,15.0,6.0
1602,24.0,40.0,20.0,40.0,41.0,3.0,16.0,3.0,15.0,6.0
1603,8.0,11.0,8.0,24.0,10.0,2.0,13.0,5.0,1.0,3.0
1604,49.0,83.0,34.0,88.0,66.0,11.0,36.0,17.0,33.0,31.0
1605,18.0,21.0,14.0,18.0,13.0,4.0,3.0,7.0,3.0,3.0
1606,14.0,21.0,7.0,66.0,37.0,6.0,22.0,12.0,3.0,1.0
1607,57.0,79.0,26.0,121.0,88.0,14.0,53.0,20.0,26.0,12.0
1608,57.0,79.0,26.0,121.0,88.0,14.0,53.0,20.0,26.0,12.0
1609,9.0,12.0,4.0,26.0,14.0,1.0,6.0,2.0,4.0,3.0
1610,10.0,12.0,5.0,24.0,13.0,2.0,6.0,2.0,4.0,3.0
1611,13.0,16.0,8.0,31.0,14.0,3.0,11.0,4.0,3.0,2.0
1612,26.0,32.0,25.0,41.0,9.0,13.0,26.0,5.0,13.0,9.0
